sim_id,category,hand_label,weapon_id,weapon_mode,quality,dataset,armor_profile,mitigation_base,armor_hp_max_fictional,n_hits,damage,ignoresArmor,armorDamage,attackSpeed,precision,total_dealt_hp_static,total_dealt_hp_armor_decay,expected_dps_proxy_static,expected_dps_proxy_decay
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,mod,plate_iron,0.68,280.0,20,17.46,0.5800,0.10,4.72,1.000,249.52,249.86,2.64,2.65
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,vanilla,none,0.00,0.0,20,24.00,0.8000,0.40,4.95,1.000,480.00,480.00,4.85,4.85
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,vanilla,light,0.28,100.0,20,24.00,0.8000,0.40,4.95,1.000,453.12,454.14,4.58,4.59
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,24.00,0.8000,0.40,4.95,1.000,414.72,415.61,4.19,4.20
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,mod,none,0.00,0.0,20,21.19,0.6800,0.10,5.20,1.000,423.75,423.75,4.07,4.07
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,mod,light,0.28,100.0,20,21.19,0.6800,0.10,5.20,1.000,385.78,386.14,3.71,3.71
ranged_curved_bow,ranged,ranged,curved_bow,primary,Q3,mod,plate_iron,0.68,280.0,20,21.19,0.6800,0.10,5.20,1.000,331.54,331.86,3.19,3.19
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,vanilla,none,0.00,0.0,20,22.00,0.8000,0.40,5.40,1.000,440.00,440.00,4.07,4.07
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,vanilla,light,0.28,100.0,20,22.00,0.8000,0.40,5.40,1.000,415.36,416.30,3.85,3.85
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,22.00,0.8000,0.40,5.40,1.000,380.16,380.97,3.52,3.53
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,mod,none,0.00,0.0,20,24.60,0.7000,0.10,5.40,1.000,491.96,491.96,4.56,4.56
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,mod,light,0.28,100.0,20,24.60,0.7000,0.10,5.40,1.000,450.64,451.03,4.17,4.18
ranged_long_bow,ranged,ranged,long_bow,primary,Q3,mod,plate_iron,0.68,280.0,20,24.60,0.7000,0.10,5.40,1.000,391.60,391.94,3.63,3.63
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,vanilla,none,0.00,0.0,20,26.00,0.9000,0.50,11.25,1.000,520.00,520.00,2.31,2.31
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,vanilla,light,0.28,100.0,20,26.00,0.9000,0.50,11.25,1.000,505.44,506.13,2.25,2.25
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,26.00,0.9000,0.50,11.25,1.000,484.64,485.24,2.15,2.16
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,mod,none,0.00,0.0,20,25.40,0.6500,0.20,11.25,1.000,508.00,508.00,2.26,2.26
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,mod,light,0.28,100.0,20,25.40,0.6500,0.20,11.25,1.000,458.22,459.16,2.04,2.04
ranged_light_crossbow,ranged,ranged,light_crossbow,primary,Q3,mod,plate_iron,0.68,280.0,20,25.40,0.6500,0.20,11.25,1.000,387.10,387.92,1.72,1.72
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,vanilla,none,0.00,0.0,20,26.00,0.9000,0.50,12.60,1.000,520.00,520.00,2.06,2.06
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,vanilla,light,0.28,100.0,20,26.00,0.9000,0.50,12.60,1.000,505.44,506.13,2.01,2.01
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,26.00,0.9000,0.50,12.60,1.000,484.64,485.24,1.92,1.93
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,mod,none,0.00,0.0,20,30.60,0.7200,0.20,12.60,1.000,612.00,612.00,2.43,2.43
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,mod,light,0.28,100.0,20,30.60,0.7200,0.20,12.60,1.000,564.02,564.93,2.24,2.24
ranged_crossbow,ranged,ranged,crossbow,primary,Q3,mod,plate_iron,0.68,280.0,20,30.60,0.7200,0.20,12.60,1.000,495.48,496.27,1.97,1.97
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,vanilla,none,0.00,0.0,20,36.00,0.9200,0.50,13.50,1.000,720.00,720.00,2.67,2.67
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,vanilla,light,0.28,100.0,20,36.00,0.9200,0.50,13.50,1.000,703.87,704.64,2.61,2.61
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,36.00,0.9200,0.50,13.50,1.000,680.83,681.50,2.52,2.52
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,mod,none,0.00,0.0,20,37.00,0.8500,0.20,13.50,1.000,740.00,740.00,2.74,2.74
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,mod,light,0.28,100.0,20,37.00,0.8500,0.20,13.50,1.000,708.92,709.51,2.63,2.63
ranged_heavy_crossbow,ranged,ranged,heavy_crossbow,primary,Q3,mod,plate_iron,0.68,280.0,20,37.00,0.8500,0.20,13.50,1.000,664.52,665.03,2.46,2.46
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,vanilla,none,0.00,0.0,20,16.00,0.7500,0.60,3.15,1.000,320.00,320.00,5.08,5.08
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,vanilla,light,0.28,100.0,20,16.00,0.7500,0.60,3.15,1.000,297.60,298.88,4.72,4.74
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,vanilla,plate_iron,0.68,280.0,20,16.00,0.7500,0.60,3.15,1.000,265.60,266.71,4.22,4.23
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,mod,none,0.00,0.0,20,21.00,0.3100,0.66,2.95,1.000,420.00,420.00,7.12,7.12
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,mod,light,0.28,100.0,20,21.00,0.3100,0.66,2.95,1.000,338.86,343.94,5.74,5.83
sword_1H_knightly,sword,1H,knightly_sword,primary,Q3,mod,plate_iron,0.68,280.0,20,21.00,0.3100,0.66,2.95,1.000,222.94,227.35,3.78,3.85
sword_2H_longsword,sword,2H,longsword,primary,Q3,vanilla,none,0.00,0.0,20,32.00,0.7000,0.60,3.15,0.950,640.00,640.00,9.65,9.65
sword_2H_longsword,sword,2H,longsword,primary,Q3,vanilla,light,0.28,100.0,20,32.00,0.7000,0.60,3.15,0.950,586.24,589.30,8.84,8.89
sword_2H_longsword,sword,2H,longsword,primary,Q3,vanilla,plate_iron,0.68,280.0,20,32.00,0.7000,0.60,3.15,0.950,509.44,512.10,7.68,7.72
sword_2H_longsword,sword,2H,longsword,primary,Q3,mod,none,0.00,0.0,20,32.00,0.3200,0.68,3.20,0.950,640.00,640.00,9.50,9.50
sword_2H_longsword,sword,2H,longsword,primary,Q3,mod,light,0.28,100.0,20,32.00,0.3200,0.68,3.20,0.950,518.14,526.02,7.69,7.81
sword_2H_longsword,sword,2H,longsword,primary,Q3,mod,plate_iron,0.68,280.0,20,32.00,0.3200,0.68,3.20,0.950,344.06,350.89,5.11,5.21
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,vanilla,none,0.00,0.0,20,40.00,0.7000,0.60,4.05,0.950,800.00,800.00,9.38,9.38
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,vanilla,light,0.28,100.0,20,40.00,0.7000,0.60,4.05,0.950,732.80,736.63,8.59,8.64
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,vanilla,plate_iron,0.68,280.0,20,40.00,0.7000,0.60,4.05,0.950,636.80,640.12,7.47,7.51
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,mod,none,0.00,0.0,20,40.00,0.3200,0.75,3.95,0.950,800.00,800.00,9.62,9.62
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,mod,light,0.28,100.0,20,40.00,0.3200,0.75,3.95,0.950,647.68,658.53,7.79,7.92
sword_2H_greatsword,sword,2H,greatsword,primary,Q3,mod,plate_iron,0.68,280.0,20,40.00,0.3200,0.75,3.95,0.950,430.08,439.49,5.17,5.29
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,vanilla,none,0.00,0.0,20,27.00,0.9000,0.65,5.85,0.950,540.00,540.00,4.38,4.38
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,vanilla,light,0.28,100.0,20,27.00,0.9000,0.65,5.85,0.950,524.88,525.81,4.26,4.27
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,vanilla,plate_iron,0.68,280.0,20,27.00,0.9000,0.65,5.85,0.950,503.28,504.09,4.09,4.09
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,mod,none,0.00,0.0,20,23.00,0.3800,0.65,5.85,0.950,460.00,460.00,3.74,3.74
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,mod,light,0.28,100.0,20,23.00,0.3800,0.65,5.85,0.950,380.14,385.08,3.09,3.13
spear_2H_reinforced,spear,2H,reinforced_spear,primary,Q3,mod,plate_iron,0.68,280.0,20,23.00,0.3800,0.65,5.85,0.950,266.06,270.34,2.16,2.20
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,vanilla,none,0.00,0.0,20,18.00,0.6000,1.10,3.60,1.000,360.00,360.00,5.00,5.00
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,vanilla,light,0.28,100.0,20,18.00,0.6000,1.10,3.60,1.000,319.68,323.89,4.44,4.50
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,vanilla,plate_iron,0.68,280.0,20,18.00,0.6000,1.10,3.60,1.000,262.08,265.73,3.64,3.69
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,mod,none,0.00,0.0,20,18.00,0.2000,1.45,3.90,0.970,360.00,360.00,4.48,4.48
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,mod,light,0.28,100.0,20,18.00,0.2000,1.45,3.90,0.970,279.36,290.47,3.47,3.61
axe_1H_hatchet,axe,1H,hatchet,primary,Q3,mod,plate_iron,0.68,280.0,20,18.00,0.2000,1.45,3.90,0.970,164.16,173.79,2.04,2.16
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,vanilla,none,0.00,0.0,20,36.00,0.6000,1.10,6.75,0.950,720.00,720.00,5.07,5.07
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,vanilla,light,0.28,100.0,20,36.00,0.6000,1.10,6.75,0.950,639.36,647.79,4.50,4.56
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,vanilla,plate_iron,0.68,280.0,20,36.00,0.6000,1.10,6.75,0.950,524.16,531.47,3.69,3.74
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,mod,none,0.00,0.0,20,36.00,0.2200,1.55,5.40,0.950,720.00,720.00,6.33,6.33
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,mod,light,0.28,100.0,20,36.00,0.2200,1.55,5.40,0.950,562.75,585.91,4.95,5.15
axe_2H_greataxe,axe,2H,greataxe,primary,Q3,mod,plate_iron,0.68,280.0,20,36.00,0.2200,1.55,5.40,0.950,338.11,358.20,2.97,3.15
blunt_1H_mace,blunt,1H,mace,primary,Q3,vanilla,none,0.00,0.0,20,16.00,0.6000,2.00,3.15,1.000,320.00,320.00,5.08,5.08
blunt_1H_mace,blunt,1H,mace,primary,Q3,vanilla,light,0.28,100.0,20,16.00,0.6000,2.00,3.15,1.000,284.16,290.97,4.51,4.62
blunt_1H_mace,blunt,1H,mace,primary,Q3,vanilla,plate_iron,0.68,280.0,20,16.00,0.6000,2.00,3.15,1.000,232.96,238.87,3.70,3.79
blunt_1H_mace,blunt,1H,mace,primary,Q3,mod,none,0.00,0.0,20,16.00,0.0900,2.30,3.40,1.000,320.00,320.00,4.71,4.71
blunt_1H_mace,blunt,1H,mace,primary,Q3,mod,light,0.28,100.0,20,16.00,0.0900,2.30,3.40,1.000,238.46,256.28,3.51,3.77
blunt_1H_mace,blunt,1H,mace,primary,Q3,mod,plate_iron,0.68,280.0,20,16.00,0.0900,2.30,3.40,1.000,121.98,137.44,1.79,2.02
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,vanilla,none,0.00,0.0,20,30.00,0.5000,1.70,6.30,0.900,600.00,600.00,4.29,4.29
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,vanilla,light,0.28,100.0,20,30.00,0.5000,1.70,6.30,0.900,516.00,529.57,3.69,3.78
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,vanilla,plate_iron,0.68,280.0,20,30.00,0.5000,1.70,6.30,0.900,396.00,407.77,2.83,2.91
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,mod,none,0.00,0.0,20,30.00,0.1300,2.20,5.20,0.950,600.00,600.00,5.48,5.48
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,mod,light,0.28,100.0,20,30.00,0.1300,2.20,5.20,0.950,453.84,484.39,4.15,4.42
blunt_2H_warhammer,blunt,2H,two_handed_warhammer,primary,Q3,mod,plate_iron,0.68,280.0,20,30.00,0.1300,2.20,5.20,0.950,245.04,271.54,2.24,2.48
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,vanilla,none,0.00,0.0,20,17.00,0.4000,1.40,6.75,0.950,340.00,340.00,2.39,2.39
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,vanilla,light,0.28,100.0,20,17.00,0.4000,1.40,6.75,0.950,282.88,290.48,1.99,2.04
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,vanilla,plate_iron,0.68,280.0,20,17.00,0.4000,1.40,6.75,0.950,201.28,207.87,1.42,1.46
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,mod,none,0.00,0.0,20,17.00,0.2200,1.00,6.75,0.980,340.00,340.00,2.47,2.47
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,mod,light,0.28,100.0,20,17.00,0.2200,1.00,6.75,0.980,265.74,272.80,1.93,1.98
throw_axes_throw,throwing,throw,throwing_axes,primary,Q3,mod,plate_iron,0.68,280.0,20,17.00,0.2200,1.00,6.75,0.980,159.66,165.78,1.16,1.20
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,vanilla,none,0.00,0.0,20,15.00,0.4000,1.00,4.05,1.000,300.00,300.00,3.70,3.70
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,vanilla,light,0.28,100.0,20,15.00,0.4000,1.00,4.05,1.000,249.60,254.39,3.08,3.14
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,vanilla,plate_iron,0.68,280.0,20,15.00,0.4000,1.00,4.05,1.000,177.60,181.75,2.19,2.24
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,mod,none,0.00,0.0,20,15.00,0.2000,1.10,4.05,1.000,300.00,300.00,3.70,3.70
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,mod,light,0.28,100.0,20,15.00,0.2000,1.10,4.05,1.000,232.80,239.82,2.87,2.96
throw_axes_melee,throwing,melee,throwing_axes,secondary,Q3,mod,plate_iron,0.68,280.0,20,15.00,0.2000,1.10,4.05,1.000,136.80,142.89,1.69,1.76
javelins_throw,throwing,throw,light_javelins,primary,Q3,vanilla,none,0.00,0.0,20,16.00,0.3500,1.20,6.30,1.000,320.00,320.00,2.54,2.54
javelins_throw,throwing,throw,light_javelins,primary,Q3,vanilla,light,0.28,100.0,20,16.00,0.3500,1.20,6.30,1.000,261.76,268.40,2.08,2.13
javelins_throw,throwing,throw,light_javelins,primary,Q3,vanilla,plate_iron,0.68,280.0,20,16.00,0.3500,1.20,6.30,1.000,178.56,184.32,1.42,1.46
javelins_throw,throwing,throw,light_javelins,primary,Q3,mod,none,0.00,0.0,20,16.00,0.3000,0.90,6.30,1.000,320.00,320.00,2.54,2.54
javelins_throw,throwing,throw,light_javelins,primary,Q3,mod,light,0.28,100.0,20,16.00,0.3000,0.90,6.30,1.000,257.28,262.64,2.04,2.08
javelins_throw,throwing,throw,light_javelins,primary,Q3,mod,plate_iron,0.68,280.0,20,16.00,0.3000,0.90,6.30,1.000,167.68,172.33,1.33,1.37
javelins_melee,throwing,melee,light_javelins,secondary,Q3,vanilla,none,0.00,0.0,20,10.00,0.8000,0.35,4.50,0.950,200.00,200.00,2.11,2.11
javelins_melee,throwing,melee,light_javelins,secondary,Q3,vanilla,light,0.28,100.0,20,10.00,0.8000,0.35,4.50,0.950,188.80,189.17,1.99,2.00
javelins_melee,throwing,melee,light_javelins,secondary,Q3,vanilla,plate_iron,0.68,280.0,20,10.00,0.8000,0.35,4.50,0.950,172.80,173.12,1.82,1.83
javelins_melee,throwing,melee,light_javelins,secondary,Q3,mod,none,0.00,0.0,20,10.00,0.3400,0.25,4.50,0.950,200.00,200.00,2.11,2.11
javelins_melee,throwing,melee,light_javelins,secondary,Q3,mod,light,0.28,100.0,20,10.00,0.3400,0.25,4.50,0.950,163.04,163.92,1.72,1.73
javelins_melee,throwing,melee,light_javelins,secondary,Q3,mod,plate_iron,0.68,280.0,20,10.00,0.3400,0.25,4.50,0.950,110.24,111.00,1.16,1.17
